#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP
47.0,Brandon Bates,MER,0.585,0.655,96.3,13.4,22.4,17.8,3.6,18.4,1.1,7.0,11.0,-2.9,1.5,112.5,96.3,16.3,135.4,14.6,20.0
48.0,Jerrick Balanza,XERS,0.385,0.395,83.9,5.3,19.2,12.2,24.9,0.0,1.3,2.2,23.9,8.3,0.8,97.5,111.4,-13.9,14.5,14.5,6.0
49.0,Jiovani Jalalon,SHOT,0.468,0.396,150.4,4.3,20.0,12.0,32.3,19.2,4.0,0.0,19.8,4.8,1.1,101.7,96.4,5.2,73.3,14.5,10.0
50.0,Joshua Munzon,NPB,0.497,0.444,146.3,3.1,12.8,7.9,20.4,15.2,4.8,0.8,20.9,1.0,1.1,98.8,103.0,-4.1,111.3,14.4,12.0
51.0,Matthew Daves,FUEL,0.687,0.704,125.9,6.7,11.9,9.4,3.8,12.5,0.8,2.1,13.2,-2.2,1.8,125.7,109.8,15.8,39.8,14.4,10.0
52.0,Mark Barroca,SHOT,0.495,0.462,146.1,2.2,11.5,6.8,30.3,15.0,2.9,0.6,24.4,2.6,1.1,101.5,101.4,0.0,115.3,14.3,12.0
53.0,Clifford Hodge,MER,0.518,0.495,113.2,11.3,14.7,13.0,11.2,15.6,1.5,3.1,15.7,-0.8,1.2,108.1,100.8,7.3,263.4,14.2,26.0
54.0,Eric James Camson,DYIP,0.552,0.483,176.2,6.1,21.5,14.1,14.2,16.9,0.7,1.2,25.3,-4.0,1.3,104.1,110.5,-6.5,21.0,14.2,12.0
55.0,James Kwekuteye,BLAC,0.537,0.5,170.2,1.6,8.4,4.7,14.5,6.8,1.4,0.5,20.8,2.4,1.1,111.4,109.3,2.1,49.4,14.0,11.0
56.0,Anton Asistio,ROS,0.514,0.489,151.4,2.2,8.6,5.4,19.3,5.9,1.5,0.0,22.5,4.5,1.1,108.6,108.9,-0.2,55.5,13.8,16.0
57.0,Christopher Banchero,MER,0.494,0.478,135.5,3.5,12.4,7.8,24.2,13.0,1.1,0.0,23.0,2.7,1.1,102.7,104.4,-1.8,197.6,13.5,26.0
58.0,Marcio Lassiter,SMB,0.621,0.604,174.3,1.9,9.1,5.6,9.7,9.7,1.1,1.1,15.2,1.0,1.3,124.2,109.8,14.4,180.5,13.5,23.0
59.0,Robbie Herndon,NLEX,0.533,0.525,135.5,2.8,18.5,10.3,9.4,6.0,1.2,0.0,19.6,0.9,1.2,108.4,110.9,-2.5,78.8,13.3,12.0
60.0,R.J. Jazul,FUEL,0.544,0.494,148.3,2.0,7.9,5.1,15.3,11.8,2.1,0.0,22.2,0.1,1.2,106.7,109.6,-2.9,55.5,13.2,11.0
61.0,Kenneth Tuffin,FUEL,0.598,0.558,159.6,4.2,15.1,9.9,10.3,15.1,1.5,0.3,17.8,-2.0,1.4,110.1,107.8,2.3,98.3,13.2,11.0
62.0,Scottie Thompson,BGK,0.419,0.405,117.8,7.5,15.2,11.5,23.7,16.4,3.2,2.4,17.1,3.6,0.9,96.5,94.2,2.4,158.6,13.0,13.0
