Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST,BLK,MIN,PTS,REB,STL,AST%,BLK%,DRB%,DRtg,FIC,ORB%,ORtg,PER,PPR,PPS,STL%,TOV%,TRB%,TS%,Total S %,USG%,eDiff,eFG%,20 Ast,20 Reb,40 Pts,5 Blk,5 Stl,Ast/TO,DWS,Dbl Dbl,FT/FGA,HOB,High Game,L's,OWS,Stl/TO,Techs,Tpl Dbl,W's,WS,Win %
Kenneth Tuffin,FUEL,11.0,32.0,12.8,4.4,9.4,0.466,1.7,4.7,0.365,2.4,3.1,0.765,1.2,4.6,5.8,1.9,0.9,0.1,1.9,2.7,21.0,1.0,351.6,141.0,64.0,10.0,10.3,0.3,15.1,107.8,98.3,4.2,110.1,13.2,-2.0,1.4,1.5,15.1,9.9,0.598,159.6,17.8,2.3,0.558,0.0,0.0,0.0,0.0,0.0,1.0,0.3,1.0,0.3,0.182,17.0,8.0,0.5,0.5,0.0,0.0,3.0,0.8,0.273
Adrian Nocum,ROS,17.0,22.6,12.8,4.8,10.5,0.461,0.9,2.8,0.313,2.2,3.4,0.655,1.1,2.6,3.8,3.1,1.0,0.3,2.1,2.3,52.0,5.0,383.5,217.0,64.0,17.0,23.7,1.1,12.2,106.4,133.0,5.1,101.9,16.1,-0.3,1.2,2.2,15.0,8.6,0.533,142.8,26.5,-4.6,0.503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Celedonio Trollano,SMB,23.0,25.1,12.5,4.7,9.0,0.529,1.7,4.2,0.406,1.3,1.6,0.811,1.5,4.0,5.5,0.8,0.3,0.1,0.9,1.7,18.0,2.0,577.1,287.0,126.0,7.0,5.1,0.3,16.3,108.2,207.9,6.6,128.1,18.4,-1.6,1.4,0.6,8.6,11.6,0.646,174.6,18.9,19.9,0.624,0.0,0.0,0.0,0.0,0.0,0.9,0.5,1.0,0.2,0.144,25.0,6.0,1.9,0.3,0.0,0.0,17.0,2.4,0.739
Jayson Castro William,TNT,14.0,25.7,12.4,4.1,9.4,0.439,1.2,3.7,0.327,2.9,4.1,0.707,0.3,3.3,3.6,5.1,0.9,0.1,1.6,1.6,71.0,2.0,359.2,174.0,50.0,13.0,34.0,0.5,13.7,107.5,144.3,1.3,116.6,18.6,7.0,1.3,1.9,12.3,7.7,0.552,147.3,22.7,9.1,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maverick Ahanmisi,BGK,19.0,33.5,12.4,3.8,10.9,0.353,1.2,4.2,0.291,3.5,4.8,0.736,2.0,4.6,6.6,3.6,0.5,0.2,1.7,2.3,69.0,3.0,636.8,236.0,125.0,10.0,18.9,0.4,14.4,102.1,176.9,6.5,106.0,12.6,2.1,1.1,0.9,11.8,10.5,0.478,138.0,20.3,3.9,0.408,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,0.4,0.226,18.0,8.0,0.6,0.3,0.0,0.0,11.0,1.6,0.579
Jhonard Clarito,ROS,18.0,24.4,12.4,4.3,9.4,0.459,1.2,3.4,0.339,2.6,3.5,0.73,1.3,3.6,4.9,1.7,0.6,0.4,1.1,2.9,30.0,7.0,438.7,223.0,88.0,10.0,11.2,1.3,15.1,106.8,144.9,5.6,112.3,15.4,0.0,1.3,1.1,9.2,10.4,0.564,152.8,21.1,5.5,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Santos,XERS,11.0,32.5,12.3,3.9,9.7,0.402,3.0,7.9,0.379,1.5,1.7,0.842,1.0,3.3,4.3,1.8,0.6,0.5,1.1,3.0,20.0,5.0,357.7,135.0,47.0,7.0,9.7,1.3,10.8,115.7,89.1,3.2,117.8,12.5,0.4,1.3,1.0,9.4,7.0,0.585,162.3,16.2,2.1,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gian Robert Mamuyac,ROS,18.0,25.2,12.2,4.6,9.2,0.5,0.4,2.3,0.171,2.6,4.0,0.653,0.8,2.5,3.3,2.9,1.2,0.3,1.1,2.6,53.0,5.0,453.0,220.0,60.0,21.0,19.3,0.9,10.3,106.1,153.3,3.4,113.4,16.2,3.1,1.3,2.3,9.2,6.9,0.556,132.4,20.4,7.3,0.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zavier Lucero,NPB,12.0,26.9,12.1,4.7,9.9,0.471,0.7,2.6,0.258,2.1,2.9,0.714,1.8,3.6,5.4,2.0,1.2,1.0,1.1,3.1,24.0,12.0,322.6,145.0,65.0,14.0,12.7,3.4,14.3,106.7,115.4,7.2,111.6,16.3,0.9,1.2,2.2,8.8,10.7,0.539,144.3,19.9,4.9,0.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Banchero,MER,26.0,29.1,12.0,4.9,11.3,0.432,1.0,3.6,0.29,1.2,1.9,0.633,0.9,3.2,4.1,3.8,0.6,0.0,1.8,2.2,99.0,0.0,756.3,312.0,106.0,15.0,24.2,0.0,12.4,104.4,197.6,3.5,102.7,13.5,2.7,1.1,1.1,13.0,7.8,0.494,135.5,23.0,-1.8,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelly Williams,TNT,12.0,28.7,11.8,4.3,10.6,0.402,1.1,4.1,0.265,2.3,3.3,0.675,1.3,6.6,7.8,1.4,0.5,0.1,1.5,2.2,17.0,1.0,343.9,142.0,94.0,6.0,8.2,0.3,24.5,105.4,99.0,5.0,99.3,12.2,-1.9,1.1,0.9,11.1,15.0,0.491,134.2,21.5,-6.1,0.453,0.0,0.0,0.0,0.0,0.0,0.9,0.4,4.0,0.3,0.158,32.0,6.0,0.0,0.3,0.0,0.0,6.0,0.5,0.5
George Isaac Go,DYIP,14.0,32.1,11.7,4.6,10.8,0.424,1.8,4.9,0.368,0.8,1.4,0.579,1.6,5.4,7.1,1.6,0.5,1.1,2.1,3.7,23.0,16.0,449.6,164.0,99.0,7.0,8.6,3.1,18.4,110.2,114.6,6.0,98.4,11.3,-3.1,1.1,0.8,15.4,12.5,0.515,137.0,19.5,-11.8,0.507,0.0,0.0,0.0,0.0,0.0,0.8,0.3,1.0,0.1,0.176,22.0,7.0,0.0,0.2,0.0,0.0,7.0,0.3,0.5
Joshua Munzon,NPB,12.0,28.7,11.6,4.2,10.4,0.4,0.9,3.8,0.239,2.3,2.8,0.824,0.8,3.4,4.3,3.6,2.8,0.3,2.1,2.7,43.0,3.0,344.2,139.0,51.0,33.0,20.4,0.8,12.8,103.0,111.3,3.1,98.8,14.4,1.0,1.1,4.8,15.2,7.9,0.497,146.3,20.9,-4.1,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrence Romeo,SMB,20.0,22.5,11.6,4.7,12.4,0.379,1.3,4.5,0.289,0.9,1.4,0.63,0.1,1.9,2.0,2.9,0.3,0.1,1.3,1.8,58.0,1.0,450.5,231.0,39.0,6.0,21.0,0.2,8.5,111.1,86.1,0.5,97.0,11.2,2.8,0.9,0.7,9.1,4.6,0.444,129.8,28.3,-14.1,0.431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcio Lassiter,SMB,23.0,30.3,11.5,4.0,8.8,0.455,2.6,5.4,0.48,0.9,1.1,0.808,0.5,2.7,3.2,2.0,0.6,0.3,1.0,2.2,45.0,8.0,696.3,265.0,73.0,14.0,9.7,1.1,9.1,109.8,180.5,1.9,124.2,13.5,1.0,1.3,1.1,9.7,5.6,0.621,174.3,15.2,14.4,0.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Black,MER,10.0,27.1,11.4,4.5,11.2,0.402,1.8,4.0,0.45,0.6,0.9,0.667,0.5,4.1,4.6,3.6,0.7,0.2,0.9,1.6,36.0,2.0,270.9,114.0,46.0,7.0,24.5,0.8,17.6,99.1,90.4,2.0,106.6,15.0,5.8,1.0,1.4,7.2,9.5,0.492,151.8,21.9,7.5,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rey Nambatac,BLAC,11.0,23.7,11.1,3.5,9.6,0.358,0.9,3.5,0.263,3.3,4.2,0.783,0.9,1.9,2.8,4.4,1.0,0.0,1.5,2.4,48.0,0.0,260.3,122.0,31.0,11.0,31.4,0.0,9.5,107.3,81.0,3.9,106.9,15.8,6.3,1.2,2.2,11.2,6.5,0.483,140.4,25.0,-0.3,0.406,0.0,0.0,0.0,0.0,0.0,3.0,0.2,1.0,0.4,0.222,27.0,7.0,0.4,0.7,0.0,0.0,4.0,0.6,0.364
Deschon Winston,XERS,11.0,22.7,11.1,3.7,9.3,0.402,0.8,1.9,0.429,2.8,3.9,0.721,1.2,3.6,4.8,1.9,0.7,0.2,1.3,1.1,21.0,2.0,249.2,122.0,53.0,8.0,15.9,0.7,17.2,112.7,83.4,5.5,105.6,16.1,0.0,1.2,1.7,10.4,11.3,0.504,155.1,24.7,-7.0,0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrei Caracut,ROS,18.0,27.1,10.9,3.6,9.2,0.388,1.8,5.1,0.352,2.0,3.1,0.643,0.3,1.9,2.3,4.3,0.1,0.1,2.1,1.6,78.0,1.0,487.4,196.0,41.0,2.0,24.3,0.2,7.4,112.1,112.5,1.3,100.3,9.8,2.6,1.2,0.2,16.7,4.4,0.517,138.2,19.9,-11.8,0.485,0.0,0.0,0.0,0.0,0.0,2.1,0.2,2.0,0.3,0.207,21.0,10.0,0.1,0.1,0.0,0.0,8.0,0.3,0.444
Anthony Semerad,NLEX,13.0,29.3,10.2,3.4,7.6,0.444,2.0,5.2,0.388,1.5,1.8,0.826,1.1,2.9,4.0,1.0,0.7,0.1,1.2,3.4,13.0,1.0,380.6,133.0,52.0,9.0,6.1,0.3,11.9,111.4,77.6,4.1,113.8,11.2,-2.0,1.3,1.3,12.8,7.8,0.609,165.9,15.5,2.5,0.576,0.0,0.0,0.0,0.0,0.0,0.8,0.2,1.0,0.2,0.134,22.0,7.0,0.5,0.6,0.0,0.0,6.0,0.7,0.462
Cade Flores,NPB,12.0,27.0,10.1,4.3,6.0,0.722,0.1,0.3,0.25,1.3,2.1,0.64,1.9,5.6,7.5,2.3,1.2,0.2,1.4,2.9,27.0,2.0,323.7,121.0,90.0,14.0,13.9,0.6,22.2,105.7,139.4,7.5,129.3,17.7,0.3,1.7,2.1,17.0,14.8,0.729,161.2,13.4,23.6,0.729,0.0,0.0,0.0,0.0,1.0,1.6,0.4,2.0,0.3,0.178,21.0,7.0,0.8,0.8,0.0,0.0,5.0,1.2,0.417
Paul Lee Dalistan,SHOT,12.0,28.9,10.0,2.7,8.3,0.323,1.3,5.1,0.262,3.3,3.8,0.889,0.6,3.6,4.2,3.3,0.4,0.1,1.8,2.1,39.0,1.0,347.0,120.0,50.0,5.0,18.8,0.3,14.7,105.5,79.6,2.3,105.5,10.6,1.5,1.2,0.8,15.0,8.4,0.505,147.4,18.5,0.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
