#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
22.0,Anton Asistio,ROS,16.0,12.0,18.4,6.4,16.9,0.378,3.8,12.4,0.303,1.9,2.3,0.833,0.8,3.0,3.8,4.3,1.1,0.0,1.1,3.6
23.0,Jhonard Clarito,ROS,18.0,24.4,18.3,6.4,14.0,0.459,1.7,5.1,0.339,3.8,5.2,0.73,2.0,5.3,7.2,2.5,0.8,0.6,1.6,4.3
24.0,Stephen Holt,DYIP,13.0,41.6,18.2,6.4,12.5,0.511,1.9,5.4,0.358,3.5,4.4,0.803,1.5,5.6,7.1,5.5,2.1,0.0,2.2,1.8
25.0,Jayjay Alejandro,FUEL,11.0,16.5,18.1,5.8,14.3,0.403,3.0,9.7,0.306,3.6,4.2,0.857,0.2,3.6,3.8,6.4,1.2,0.0,2.8,3.8
26.0,Beau Belga,ROS,18.0,30.0,17.9,6.5,14.0,0.462,2.4,6.7,0.356,2.6,4.5,0.582,0.9,7.4,8.3,5.7,0.9,0.5,3.2,4.5
27.0,Celedonio Trollano,SMB,23.0,25.1,17.9,6.8,12.9,0.529,2.4,6.0,0.406,1.9,2.3,0.811,2.2,5.7,7.9,1.1,0.4,0.1,1.3,2.5
28.0,Eric James Camson,DYIP,12.0,6.4,17.9,6.1,14.1,0.433,1.4,3.3,0.429,4.2,4.7,0.9,1.9,7.1,8.9,2.8,0.5,0.5,3.3,6.6
29.0,Jason Perkins,FUEL,10.0,35.7,17.7,6.7,12.8,0.52,1.2,3.3,0.364,3.2,3.9,0.821,1.7,6.3,8.0,3.1,0.4,0.2,2.0,2.7
30.0,Deschon Winston,XERS,11.0,22.7,17.6,5.9,14.7,0.402,1.3,3.0,0.429,4.5,6.2,0.721,1.9,5.8,7.7,3.0,1.2,0.3,2.0,1.7
31.0,Chris Newsome,MER,26.0,35.9,17.5,5.6,14.4,0.385,1.4,5.1,0.267,5.1,5.8,0.873,1.2,4.8,6.0,4.5,0.9,0.3,2.0,2.9
32.0,Gian Robert Mamuyac,ROS,18.0,25.2,17.5,6.6,13.2,0.5,0.6,3.3,0.171,3.7,5.7,0.653,1.2,3.6,4.8,4.2,1.7,0.4,1.6,3.7
33.0,Jayson Castro William,TNT,14.0,25.7,17.4,5.8,13.2,0.439,1.7,5.2,0.327,4.1,5.8,0.707,0.4,4.6,5.0,7.1,1.3,0.2,2.2,2.3
34.0,Japeth Aguilar,BGK,19.0,28.2,17.4,6.8,12.3,0.554,0.0,0.2,0.0,3.7,4.6,0.797,2.1,6.1,8.2,0.7,0.3,1.7,1.7,3.2
35.0,Kim Aurin,TNT,14.0,16.0,17.4,6.0,11.9,0.5,3.1,6.6,0.463,2.4,3.2,0.75,0.6,3.4,4.0,2.1,0.6,0.6,1.8,3.9
36.0,Regile Ilagan,BLAC,11.0,16.5,17.1,6.0,14.3,0.417,3.0,9.1,0.326,2.2,2.4,0.917,0.8,6.0,6.8,7.4,2.0,0.2,2.4,4.4
37.0,R.J. Jazul,FUEL,11.0,20.5,16.9,5.0,13.7,0.36,3.7,11.7,0.315,3.4,4.2,0.808,0.6,2.7,3.4,3.2,1.4,0.0,2.1,2.9
