#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
84.0,Mark Borboran,ROS,15.0,16.3,5.6,2.2,3.7,0.589,0.3,1.0,0.333,0.9,0.9,0.929,0.7,2.3,3.0,1.1,0.7,0.7,0.5,1.1
85.0,Fran Louie Yu,NPB,12.0,15.5,5.4,1.6,5.1,0.311,0.7,3.1,0.216,1.6,2.1,0.76,0.4,1.5,1.9,3.8,1.4,0.0,1.0,2.3
86.0,Shaun Ildefonso,ROS,16.0,11.6,5.4,2.0,4.4,0.457,0.4,1.8,0.25,0.9,1.8,0.517,0.7,1.3,2.0,0.4,0.3,0.3,0.6,0.6
87.0,Joseph Matthew Nieto,NLEX,11.0,20.2,5.3,2.0,5.7,0.349,0.4,2.0,0.182,0.9,1.3,0.714,0.3,1.5,1.7,3.1,0.5,0.0,1.2,1.6
88.0,Amer Baser,NLEX,12.0,19.1,5.3,2.0,5.2,0.387,0.8,3.0,0.278,0.4,0.8,0.5,0.3,1.3,1.6,1.8,0.3,0.1,1.3,2.3
89.0,James Laput,SHOT,11.0,14.1,5.2,2.0,3.8,0.524,0.0,0.0,0.0,1.2,1.6,0.722,0.8,1.8,2.6,0.5,0.1,0.1,1.0,2.1
90.0,Rome de la Rosa,SHOT,6.0,21.9,5.0,2.0,5.3,0.375,0.5,1.8,0.273,0.5,0.7,0.75,0.5,1.7,2.2,1.2,0.7,0.0,0.3,2.0
91.0,Tyrus Hill,BLAC,11.0,19.0,5.0,2.1,4.8,0.434,0.1,1.0,0.091,0.7,0.8,0.889,1.3,1.9,3.2,0.9,0.9,0.5,1.0,2.1
92.0,Jeffrei Chan,NPB,8.0,14.0,5.0,2.0,4.6,0.432,0.6,1.9,0.333,0.4,0.9,0.429,0.0,1.1,1.1,1.3,1.0,0.1,0.8,0.3
93.0,John De Los Santos,XERS,11.0,20.5,4.9,2.1,3.9,0.535,0.5,1.1,0.417,0.3,0.6,0.429,1.1,1.6,2.7,3.8,0.8,0.2,1.8,1.8
94.0,Aljun Melecio,XERS,11.0,13.9,4.9,1.6,5.9,0.277,1.0,3.6,0.275,0.6,0.6,1.0,0.7,1.1,1.8,1.5,0.2,0.0,0.6,0.9
95.0,Abu Jahal Tratter,SHOT,12.0,15.3,4.8,2.2,3.4,0.634,0.0,0.0,0.0,0.5,1.3,0.4,1.3,1.7,3.0,0.4,0.3,0.0,1.3,2.0
96.0,Matthew Daves,FUEL,10.0,13.6,4.8,1.9,2.7,0.704,0.0,0.0,0.0,1.0,1.8,0.556,0.8,1.5,2.3,0.3,0.2,0.3,0.5,0.7
97.0,Henry Galinato,TNT,13.0,11.9,4.8,1.7,3.3,0.512,0.0,0.2,0.0,1.4,2.0,0.692,1.5,2.6,4.2,0.7,0.2,0.2,1.7,1.8
98.0,Gelo Alolino,DYIP,14.0,13.7,4.7,1.8,4.7,0.379,0.4,1.3,0.278,0.8,1.1,0.688,0.3,0.9,1.2,1.8,0.5,0.1,0.8,0.9
99.0,Anjo Caram,MER,24.0,14.7,4.7,1.7,4.0,0.427,1.0,2.2,0.434,0.3,0.3,0.875,0.3,0.5,0.8,1.2,0.2,0.1,0.5,1.4
100.0,Sean Anthony,NLEX,10.0,14.4,4.6,1.4,5.5,0.255,0.2,1.9,0.105,1.6,2.2,0.727,1.0,2.3,3.3,0.8,0.7,0.0,1.0,2.3
101.0,Larry Muyang,FUEL,10.0,15.4,4.4,1.5,4.7,0.319,0.5,2.6,0.192,0.9,1.2,0.75,0.9,2.6,3.5,0.3,0.0,0.3,0.2,2.1
102.0,Brandon Bates,MER,20.0,20.2,4.4,1.9,2.9,0.655,0.0,0.0,0.0,0.6,2.0,0.308,2.5,4.0,6.5,0.5,0.4,1.5,0.9,3.3
103.0,Richard Escoto,BLAC,11.0,13.5,4.1,1.5,3.5,0.41,0.6,1.6,0.389,0.5,1.0,0.545,0.6,1.5,2.1,0.5,0.3,0.3,0.5,1.4
104.0,John Rodney Brondial,SMB,22.0,13.4,4.0,2.0,3.3,0.589,0.0,0.1,0.5,0.1,0.6,0.143,2.0,2.3,4.4,1.0,0.2,0.2,0.4,1.8
105.0,Philip Cahilig,DYIP,14.0,16.7,4.0,1.4,3.4,0.417,1.1,2.4,0.455,0.1,0.4,0.2,0.9,2.4,3.4,0.8,0.2,0.5,0.9,1.9
106.0,Jose Mendoza,MER,12.0,9.2,4.0,1.3,3.1,0.432,0.9,2.3,0.393,0.4,0.7,0.625,0.0,0.5,0.5,0.8,0.2,0.0,0.5,1.1
